,count,mean,std,min,25%,50%,75%,max
66,4.0,6.1,2.026491220476088,4.7,5.0,5.3,6.4,9.1
67,4.0,4.975,2.3893862531341945,2.5,3.7750000000000004,4.6,5.8,8.2
68,4.0,2.725,2.515783509498913,0.7,1.525,1.9,3.1,6.4
69,4.0,1.4500000000000002,0.3872983346207417,0.9,1.35,1.55,1.6500000000000001,1.8
70,4.0,3.925,4.2342846700082255,0.2,1.85,2.75,4.825,10.0
71,4.0,4.775,1.7134273644754636,2.4,4.2,5.15,5.725,6.4
72,4.0,5.075,1.858987179442971,2.7,4.05,5.45,6.4750000000000005,6.7
73,4.0,3.45,2.106339637063944,0.5,3.05,3.9,4.3,5.5
74,4.0,2.825,2.0870633275809656,0.4,2.125,2.7,3.4000000000000004,5.5
75,4.0,2.6,1.9899748742132397,0.9,1.05,2.2,3.75,5.1
76,4.0,4.0,3.001110905425967,1.1,2.6,3.35,4.75,8.2
77,4.0,4.175000000000001,1.973786547054502,1.6,3.5500000000000003,4.35,4.975,6.4
78,4.0,3.625,2.099801577927464,0.7,2.875,4.15,4.9,5.5
79,4.0,3.35,1.767295485574875,1.5,2.175,3.2,4.375,5.5
80,4.0,3.75,3.6272119688083664,1.1,1.85,2.4000000000000004,4.3,9.1
81,4.0,4.65,2.104756517984919,1.6,4.225,5.3,5.725,6.4
82,4.0,4.324999999999999,2.741502021398732,1.8,2.925,3.65,5.05,8.2
83,4.0,2.8000000000000003,1.0099504938362078,1.8,2.325,2.6,3.075,4.2
84,4.0,5.75,2.5942243542145693,2.9,4.4,5.5,6.85,9.1
85,4.0,4.85,2.495996794869737,2.5,3.25,4.35,5.95,8.2
86,4.0,6.05,2.490649179096352,3.6,4.275,5.75,7.525,9.1
87,4.0,3.5500000000000003,2.2397916569776455,0.4,2.8,4.15,4.9,5.5
88,4.0,2.825,1.6500000000000001,0.9,1.725,3.1,4.2,4.2
89,4.0,4.6499999999999995,2.9217574619852797,1.1,3.4250000000000003,4.65,5.875,8.2
90,4.0,5.199999999999999,2.8925190866555512,2.4,3.4499999999999997,4.65,6.4,9.1
91,4.0,3.35,1.8663690238892556,1.3,2.125,3.3,4.525,5.5
92,4.0,3.8000000000000003,2.6595739007091592,0.9,1.875,4.0,5.925,6.3
93,4.0,3.55,2.7331300737432898,0.9,2.025,3.0,4.525,7.3
94,4.0,4.2250000000000005,2.4308777564218786,1.6,2.8000000000000003,4.0,5.425,7.3
95,4.0,3.4,1.2569805089976533,1.6,3.1,3.75,4.05,4.5
96,4.0,4.074999999999999,3.2014319712695234,0.4,2.8,3.8499999999999996,5.125,8.2
97,4.0,2.025,1.35,0.9,0.9,1.8,2.9250000000000003,3.6
98,4.0,3.3499999999999996,2.7574142476844736,0.9,2.025,2.5999999999999996,3.925,7.3
99,4.0,4.5,3.746998799039039,1.6,2.65,3.2,5.05,10.0
100,4.0,3.25,2.3216373532487804,0.9,2.025,2.8499999999999996,4.075,6.4
101,4.0,4.85,1.3428824718989123,3.1,4.15,5.15,5.85,6.0
102,4.0,2.55,1.9672315572906003,0.0,1.5750000000000002,2.85,3.825,4.5
103,4.0,4.825,2.720753572082558,1.6,3.625,4.75,5.95,8.2
104,4.0,2.0500000000000003,0.9327379053088816,0.9,1.575,2.1,2.575,3.1
105,4.0,3.25,3.3070631482732025,1.3,1.6,1.75,3.4,8.2
106,4.0,4.675,3.2417844880045106,1.3,3.3999999999999995,4.15,5.425,9.1
107,4.0,4.875,3.154229964138104,1.5,3.4499999999999997,4.449999999999999,5.875,9.1
108,4.0,4.35,3.5828294219327086,0.5,2.5999999999999996,3.9,5.65,9.1
109,4.0,5.325,2.600480724789169,1.6,4.525,6.2,7.0,7.3
110,4.0,3.175,3.9508437917319212,1.1,1.175,1.25,3.25,9.1
111,4.0,3.425,3.79418414594407,1.2,1.425,1.7,3.6999999999999997,9.1
112,4.0,3.375,2.6550266790875505,1.5,1.9500000000000002,2.35,3.775,7.3
113,4.0,4.325,2.087063327580966,1.5,3.5250000000000004,4.7,5.5,6.4
114,4.0,3.4499999999999997,3.387722932393773,0.2,1.85,2.7,4.3,8.2
115,4.0,5.025,3.41796723214252,2.2,3.475,3.95,5.5,10.0
116,4.0,2.6,1.5811388300841898,0.9,1.575,2.5,3.5250000000000004,4.5
117,4.0,3.875,2.7232027712481,0.7,2.65,3.75,4.975,7.3
118,4.0,4.375,3.026962173533062,0.9,2.925,4.2,5.6499999999999995,8.2
119,4.0,1.575,0.6075908711186061,0.9,1.2,1.55,1.925,2.3
120,4.0,2.9,2.0864643139371766,0.4,2.125,2.85,3.625,5.5
121,4.0,5.775,1.1557825631723873,4.4,5.075,5.85,6.550000000000001,7.0
