nome,nota
leandre,5.44
leda sadala,6.0
leo de brito,4.03
leo moraes,6.62
leo motta,5.97
leonardo monteiro,2.8
leonidas cristino,3.15
leur lomanto junior,6.47
lidice da mata,2.47
lincoln portela,7.4
liziane bayer,6.98
loester trutis,7.21
lourival gomes,6.96
lucas gonzalez,7.49
lucas redecker,8.07
lucas vergilio,6.66
luciano bivar,5.84
luciano ducci,3.82
lucio mosquini,4.96
luis miranda,7.24
luis tibe,6.09
luisa canziani,6.99
luiz antonio correa,6.26
luiz carlos,6.55
luiz carlos motta,6.68
luiz lima,7.69
luiz nishimori,6.59
luiz philippe de orleans e braganca,7.78
luiza erundina,2.97
luizao goulart,6.5
luizianne lins,3.15
magda mofatto,5.32
major fabiana,7.2
major vitor hugo,7.54
mara rocha,6.24
marcel van hattem,7.66
marcelo alvaro antonio,7.2
marcelo aro,5.36
marcelo calero,7.93
marcelo freixo,3.37
marcelo nilo,4.05
marcelo ramos,6.97
marcio alvino,7.22
marcio biolchi,6.89
marcio labre,7.33
marcio marinho,5.96
marco bertaiolli,8.02
marcon,2.56
marcos aurelio sampaio,6.22
marcos pereira,6.93
marcos soares,5.81
margarete coelho,6.32
maria do rosario,2.62
maria rosas,5.9
marilia arraes,2.77
marina santos,6.5
mario heringer,3.76
mario negromonte jr.,5.65
marlon santos,6.5
marreca filho,6.82
marx beltrao,6.32
mauricio dziedricki,7.16
mauro benevides filho,5.47
mauro lopes,6.2
mauro nazif,4.65
merlong solano,3.32
miguel lombardi,7.26
milton coelho,3.97
milton vieira,6.16
misael varella,6.03
natalia bonavides,2.51
nelson barbudo,7.42
nereu crispim,6.79
neri geller,6.62
neucimar fraga,6.9
newton cardoso jr,5.65
nicoletti,6.86
nilson pinto,6.43
nilto tatto,2.89
nivaldo albuquerque,6.87
norma ayub,5.49
odair cunha,2.78
olival marques,6.48
orlando silva,2.5
osmar serraglio,7.46
osmar terra,6.54
ossesio silva,6.25
otoni de paula,6.9
ottaci nascimento,6.42
otto alencar filho,5.36
padre joao,2.57
pastor eurico,7.39
pastor gil,6.14
pastor sargento isidorio,4.08
patricia ferraz,6.84
patrus ananias,2.91
paula belmonte,7.99
paulao,2.82
paulinho da forca,2.53
paulo abi-ackel,6.05
paulo azi,6.55
paulo bengtson,6.33
paulo eduardo martins,7.73
paulo foletto,3.75
paulo freire costa,7.14
paulo ganime,7.82
paulo guedes,3.22
paulo magalhaes,6.84
paulo pimenta,2.1
paulo ramos,3.14
paulo teixeira,2.3
pedro augusto bezerra,6.24
pedro augusto palareti,7.33
pedro cunha lima,7.83
pedro lucas fernandes,6.64
pedro lupion,6.84
pedro paulo,6.98
pedro uczai,2.65
pedro vilela,7.89
pedro westphalen,7.35
perpetua almeida,2.87
pinheirinho,6.46
policial katia sastre,6.48
pompeo de mattos,3.69
pr. marco feliciano,6.09
professor alcides,6.77
professor israel batista,4.14
professor joziel,6.54
professora dayane pimentel,7.27
professora marcivania,2.98
professora rosa neide,2.98
rafael motta,3.86
raimundo costa,6.38
raul henry,6.23
reginaldo lopes,2.65
rejane dias,2.9
renildo calheiros,3.06
ricardo barros,6.78
ricardo da karol,6.45
ricardo guidi,6.93
ricardo izar,5.35
ricardo silva,6.33
ricardo teobaldo,5.81
roberio monteiro,3.92
roberto alves,6.07
roberto de lucena,6.95
rodrigo agostinho,5.01
rodrigo coelho,7.91
rodrigo de castro,6.65
rogerio correia,2.6
rogerio peninha mendonca,7.38
ronaldo carletto,6.5
ronaldo martins,6.65
rosana valle,6.28
rosangela gomes,6.12
rose modesto,5.92
rubens bueno,7.04
rubens otoni,3.14
rubens pereira junior,5.29
rui falcao,2.6
ruy carneiro,6.26
samia bomfim,2.91
samuel moreira,7.76
sanderson,7.31
sargento fahur,7.39
sebastiao oliveira,6.57
sergio brito,6.34
sergio souza,6.9
sergio toledo,6.24
severino pessoa,6.02
sheridan,5.9
sidney leite,5.96
silas camara,5.77
silvia cristina,5.12
silvio costa filho,6.81
soraya santos,6.84
sostenes cavalcante,5.44
stefano aguiar,5.87
subtenente gonzaga,4.04
tabata amaral,6.33
tadeu alencar,3.6
taliria petrone,3.39
tereza nelma,4.97
tiago dimas,6.39
tiago mitraud,7.79
tiririca,3.73
tito,7.22
toninho wandscheer,6.43
tulio gadelha,3.5
uldurico junior,6.7
valmir assuncao,2.63
vander loubet,2.07
vanderlei macris,7.06
vava martins,5.97
vermelho,6.21
vicentinho,2.85
vicentinho junior,6.52
vilson da fetaemg,3.68
vinicius carvalho,6.56
vinicius farah,5.49
vinicius poit,7.88
vitor lippi,6.93
vivi reis,1.64
waldenor pereira,2.71
walter alves,6.01
weliton prado,4.78
wellington roberto,5.76
wilson santiago,4.29
wolney queiroz,3.49
ze carlos,2.78
ze neto,3.2
ze silva,6.47
ze vitor,6.22
zeca dirceu,2.91
