nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
carlos henrique gaguim,Tocantins,UNIÃO,5.1,1.6,5.5,6.4,4.48
carlos jordy,Rio de Janeiro,PL,4.0,1.8,3.3,8.2,7.46
carlos sampaio,São Paulo,PSDB,4.2,2.5,2.7,1.8,7.08
carlos veras,Pernambuco,PT,4.9,2.9,6.1,9.1,2.94
carlos zarattini,São Paulo,PT,3.5,2.5,5.2,8.2,2.93
carmen zanotto,Santa Catarina,CIDADANIA,7.0,3.6,9.1,4.5,7.3
caroline de toni,Santa Catarina,PL,4.7,0.4,3.6,5.5,7.54
cassio andrade,Pará,PSB,4.2,2.0,4.2,0.9,4.73
celina leao,Distrito Federal,PP,5.1,1.1,4.2,8.2,5.46
celio moura,Tocantins,PT,3.8,2.4,5.5,9.1,2.74
celio silveira,Goiás,MDB,4.2,1.3,2.4,5.5,6.84
celio studart,Ceará,PSD,6.3,2.2,5.8,0.9,4.93
celso maldaner,Santa Catarina,MDB,3.6,0.9,2.4,7.3,6.57
celso russomanno,São Paulo,REPUBLICANOS,3.2,1.6,4.8,7.3,6.24
celso sabino,Pará,UNIÃO,4.5,1.6,3.9,3.6,6.14
cezinha de madureira,São Paulo,PSD,4.1,0.4,3.6,8.2,6.45
charles fernandes,Bahia,PSD,3.6,0.9,2.7,0.9,5.76
charlles evangelista,Minas Gerais,PP,2.8,0.9,2.4,7.3,6.77
chico d'angelo,Rio de Janeiro,PDT,3.4,1.6,3.0,10.0,3.61
chiquinho brazao,Rio de Janeiro,UNIÃO,3.3,0.9,2.4,6.4,6.33
chris tonietto,Rio de Janeiro,PL,6.0,3.1,5.8,4.5,7.49
christiane de souza yared,Paraná,PP,3.6,0.0,2.1,4.5,6.47
christino aureo,Rio de Janeiro,PP,4.3,1.6,5.2,8.2,6.53
clarissa garotinho,Rio de Janeiro,UNIÃO,3.1,1.8,2.4,0.9,4.92
claudio cajado,Bahia,PP,1.7,1.3,1.8,8.2,6.29
cleber verde,Maranhão,REPUBLICANOS,4.1,1.3,4.2,9.1,6.3
coronel armando,Santa Catarina,PL,4.1,1.5,4.8,9.1,7.1
coronel chrisostomo,Rondônia,PL,3.3,0.5,4.5,9.1,7.33
coronel tadeu,São Paulo,PL,6.9,1.6,5.5,7.3,7.1
covatti filho,Rio Grande do Sul,PP,1.1,1.3,1.2,9.1,7.26
cristiano vale,Pará,PP,1.9,1.5,1.2,9.1,5.6
da vitoria,Espírito Santo,PP,2.6,1.5,2.1,7.3,7.21
dagoberto nogueira,Mato Grosso do Sul,PSDB,5.2,1.5,4.2,6.4,2.95
damiao feliciano,Paraíba,UNIÃO,2.4,0.2,3.0,8.2,3.65
daniel almeida,Bahia,PCdoB,4.0,2.2,3.9,10.0,2.72
daniel coelho,Pernambuco,CIDADANIA,3.2,1.8,4.5,0.9,7.76
daniel freitas,Santa Catarina,PL,3.3,0.7,4.2,7.3,7.6
daniel silveira,Rio de Janeiro,PTB,3.6,0.9,4.8,8.2,7.03
daniel trzeciak,Rio Grande do Sul,PSDB,2.3,1.3,1.8,0.9,7.87
daniela do waguinho,Rio de Janeiro,UNIÃO,3.0,0.4,2.7,5.5,6.2
danilo cabral,Pernambuco,PSB,5.3,4.4,7.0,6.4,3.61
danilo forte,Ceará,UNIÃO,1.9,1.6,1.8,4.5,7.04
danrlei de deus hinterholz,Rio Grande do Sul,PSD,1.8,0.4,2.1,5.5,6.33
darci de matos,Santa Catarina,PSD,5.2,0.5,5.2,8.2,7.44
darcisio perondi,Rio Grande do Sul,MDB,1.3,0.0,1.5,9.1,
david miranda,Rio de Janeiro,PDT,4.0,3.8,4.8,8.2,3.31
david soares,São Paulo,UNIÃO,5.3,2.7,3.6,3.6,6.5
delegado antonio furtado,Rio de Janeiro,UNIÃO,4.3,0.0,3.0,0.9,6.36
delegado eder mauro,Pará,PL,3.0,0.0,2.4,6.4,7.03
delegado marcelo freitas,Minas Gerais,UNIÃO,4.8,0.9,2.7,7.3,7.06
delegado pablo,Amazonas,UNIÃO,4.2,2.0,4.2,8.2,6.81
