nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
marcelo nilo,Bahia,REPUBLICANOS,2.4,0.4,3.0,5.5,4.05
marcelo ramos,Amazonas,PSD,6.4,2.0,5.5,0.9,6.97
marcio alvino,São Paulo,PL,1.6,1.1,3.9,9.1,7.22
marcio biolchi,Rio Grande do Sul,MDB,1.9,0.2,0.6,5.5,6.89
marcio jerry,Maranhão,PCdoB,2.2,0.9,3.0,10.0,
marcio labre,Rio de Janeiro,PL,3.1,0.9,2.1,7.3,7.33
marcio marinho,Bahia,REPUBLICANOS,2.7,0.2,4.5,9.1,5.96
marco bertaiolli,São Paulo,PSD,3.3,1.1,4.2,5.5,8.02
marcon,Rio Grande do Sul,PT,3.9,3.8,4.8,7.3,2.56
marcos aurelio sampaio,Piauí,PSD,2.0,0.2,2.1,9.1,6.22
marcos pereira,São Paulo,REPUBLICANOS,3.5,0.9,2.7,7.3,6.93
marcos soares,Rio de Janeiro,UNIÃO,0.8,0.4,1.2,7.3,5.81
margarete coelho,Piauí,PP,4.8,0.7,4.5,8.2,6.32
margarida salomao,Minas Gerais,PT,3.0,2.2,5.5,10.0,
maria do rosario,Rio Grande do Sul,PT,7.2,2.5,6.4,8.2,2.62
maria rosas,São Paulo,REPUBLICANOS,3.6,1.3,3.0,10.0,5.9
mariana carvalho,Rondônia,REPUBLICANOS,3.1,2.4,4.8,5.5,
marilia arraes,Pernambuco,SOLIDARIEDADE,5.3,2.7,5.2,9.1,2.77
marina santos,Piauí,REPUBLICANOS,2.7,1.1,2.4,8.2,6.5
mario heringer,Minas Gerais,PDT,5.5,2.2,3.6,8.2,3.76
mario negromonte jr.,Bahia,PP,2.4,0.9,1.8,5.5,5.65
marlon santos,Rio Grande do Sul,PL,1.7,0.7,1.8,0.9,6.5
marreca filho,Maranhão,PATRIOTA,4.9,2.2,3.3,6.4,6.82
marx beltrao,Alagoas,PP,2.7,1.1,2.4,6.4,6.32
mauricio dziedricki,Rio Grande do Sul,PODE,3.3,0.0,3.0,6.4,7.16
mauro benevides filho,Ceará,PDT,1.6,1.8,2.1,9.1,5.47
mauro lopes,Minas Gerais,PP,2.6,0.9,2.7,7.3,6.2
mauro nazif,Rondônia,PSB,7.0,0.7,5.2,0.9,4.65
merlong solano,Piauí,PT,2.8,2.7,3.0,8.2,3.32
miguel haddad,São Paulo,PSDB,0.7,0.9,0.6,8.2,
miguel lombardi,São Paulo,PL,2.4,1.5,1.8,6.4,7.26
milton coelho,Pernambuco,PSB,1.7,1.1,2.4,7.3,3.97
milton vieira,São Paulo,REPUBLICANOS,2.4,0.9,1.8,10.0,6.16
misael varella,Minas Gerais,PSD,1.7,1.1,1.5,7.3,6.03
moses rodrigues,Ceará,UNIÃO,2.3,1.5,1.8,8.2,
natalia bonavides,Rio Grande do Norte,PT,6.3,2.5,5.2,9.1,2.51
nelson barbudo,Mato Grosso,PL,3.2,0.7,2.1,9.1,7.42
nelson pellegrino,Bahia,PT,1.6,1.8,1.8,10.0,
nereu crispim,Rio Grande do Sul,PSD,5.5,1.1,6.1,3.6,6.79
neri geller,Mato Grosso,PP,2.7,0.7,2.1,10.0,6.62
neucimar fraga,Espírito Santo,PP,2.4,1.1,1.8,8.2,6.9
newton cardoso jr,Minas Gerais,MDB,2.7,1.1,4.5,5.5,5.65
ney leprevost,Paraná,UNIÃO,1.6,0.0,1.2,10.0,
nicoletti,Roraima,UNIÃO,4.8,1.6,3.3,7.3,6.86
nilson f. stainsack,Santa Catarina,PP,0.5,0.0,0.3,0.0,
nilson pinto,Pará,PSDB,1.5,1.1,1.8,8.2,6.43
nilto tatto,São Paulo,PT,6.9,4.4,5.2,9.1,2.89
nivaldo albuquerque,Alagoas,REPUBLICANOS,4.4,1.5,3.9,8.2,6.87
norma ayub,Espírito Santo,PP,3.5,1.3,3.6,2.7,5.49
norma pereira,Santa Catarina,PSDB,0.2,0.0,0.6,10.0,
odair cunha,Minas Gerais,PT,2.2,1.3,4.5,7.3,2.78
odorico monteiro,Ceará,PSB,1.3,0.5,1.2,10.0,
olival marques,Pará,MDB,2.2,0.4,1.5,8.2,6.48
orlando silva,São Paulo,PCdoB,5.0,2.7,6.7,8.2,2.5
osires damaso,Tocantins,PSC,2.4,1.1,2.4,7.3,
osmar terra,Rio Grande do Sul,MDB,1.4,0.9,1.5,2.7,6.54
ossesio silva,Pernambuco,REPUBLICANOS,3.6,1.8,3.3,10.0,6.25
otavio leite,Rio de Janeiro,PSDB,2.0,1.1,2.1,7.3,
otoni de paula,Rio de Janeiro,MDB,3.4,0.5,3.9,6.4,6.9
ottaci nascimento,Roraima,SOLIDARIEDADE,1.6,0.0,1.8,8.2,6.42
otto alencar filho,Bahia,PSD,4.3,0.9,3.0,0.9,5.36
padre joao,Minas Gerais,PT,4.0,2.2,6.4,9.1,2.57
paes landim,Piauí,UNIÃO,0.8,0.4,1.8,10.0,
pastor eurico,Pernambuco,PL,4.0,1.3,3.3,8.2,7.39
pastor gil,Maranhão,PL,3.4,0.7,3.3,7.3,6.14
pastor sargento isidorio,Bahia,AVANTE,4.2,0.0,2.4,0.9,4.08
patricia ferraz,Amapá,PODE,2.0,0.4,2.7,10.0,6.84
patrick dorneles,Paraíba,PSD,0.5,0.4,0.0,9.1,
patrus ananias,Minas Gerais,PT,5.3,4.4,5.5,9.1,2.91
paula belmonte,Distrito Federal,CIDADANIA,6.4,3.6,8.8,0.9,7.99
paulao,Alagoas,PT,3.5,2.2,4.8,9.1,2.82
paulo abi-ackel,Minas Gerais,PSDB,3.0,1.1,2.1,7.3,6.05
paulo azi,Bahia,UNIÃO,2.4,1.1,2.7,7.3,6.55
paulo bengtson,Pará,PTB,6.0,0.9,3.9,7.3,6.33
paulo eduardo martins,Paraná,PL,4.7,1.3,3.0,0.9,7.73
paulo freire costa,São Paulo,PL,1.7,1.3,0.9,8.2,7.14
paulo ganime,Rio de Janeiro,NOVO,6.3,4.7,5.5,9.1,7.82
paulo guedes,Minas Gerais,PT,3.5,2.4,5.8,9.1,3.22
paulo magalhaes,Bahia,PSD,2.0,0.4,0.9,4.5,6.84
paulo marinho jr,Maranhão,PL,0.6,0.0,0.3,10.0,
paulo pimenta,Rio Grande do Sul,PT,4.4,3.5,5.8,8.2,2.1
paulo ramos,Rio de Janeiro,PDT,5.9,3.5,5.5,6.4,3.14
paulo teixeira,São Paulo,PT,7.0,4.4,8.5,9.1,2.3
paulo vicente caleffi,Rio Grande do Sul,PSD,1.1,0.0,1.2,9.1,
pedro augusto bezerra,Ceará,PDT,4.4,1.3,4.5,0.9,6.24
pedro augusto palareti,Rio de Janeiro,PP,1.1,0.5,0.6,8.2,7.33
pedro cunha lima,Paraíba,PSDB,2.6,2.4,2.7,3.6,7.83
pedro dalua,Amapá,PSC,0.5,0.2,0.9,10.0,
pedro lucas fernandes,Maranhão,UNIÃO,4.8,1.5,3.6,6.4,6.64
pedro lupion,Paraná,PP,4.4,1.3,3.6,5.5,6.84
pedro paulo,Rio de Janeiro,PSD,1.8,1.5,1.8,8.2,6.98
pedro uczai,Santa Catarina,PT,5.6,3.6,7.3,8.2,2.65
pedro vilela,Alagoas,PSDB,2.2,1.8,2.4,7.3,7.89
pedro westphalen,Rio Grande do Sul,PP,3.6,0.9,4.8,9.1,7.35
perpetua almeida,Acre,PCdoB,7.0,2.4,7.9,8.2,2.87
pinheirinho,Minas Gerais,PP,3.5,1.3,2.7,9.1,6.46
policial katia sastre,São Paulo,PL,3.8,1.5,3.6,6.4,6.48
pompeo de mattos,Rio Grande do Sul,PDT,8.0,0.7,7.0,3.6,3.69
pr. marco feliciano,São Paulo,PL,2.2,2.0,2.1,6.4,6.09
professor alcides,Goiás,PL,2.4,1.1,2.4,9.1,6.77
professor israel batista,Distrito Federal,PSB,5.2,3.3,6.7,0.9,4.14
professor joziel,Rio de Janeiro,PATRIOTA,3.0,1.3,1.8,6.4,6.54
professora dayane pimentel,Bahia,UNIÃO,2.8,1.3,2.4,0.9,7.27
professora dorinha seabra rezende,Tocantins,UNIÃO,4.4,1.8,5.2,2.7,
professora marcivania,Amapá,PCdoB,2.8,2.5,3.3,9.1,2.98
professora rosa neide,Mato Grosso,PT,5.7,4.0,7.0,8.2,2.98
rachel marques,Ceará,PT,0.2,0.0,0.3,0.0,
rafael motta,Rio Grande do Norte,PSB,4.1,3.1,4.2,6.4,3.86
rafafa,Paraíba,PSDB,0.8,0.0,1.2,9.1,
raimundo costa,Bahia,PODE,2.3,1.3,1.5,6.4,6.38
raul henry,Pernambuco,MDB,2.2,1.3,2.1,0.9,6.23
reginaldo lopes,Minas Gerais,PT,6.5,4.0,7.0,8.2,2.65
reinhold stephanes junior,Paraná,PSD,3.1,1.3,2.1,5.5,
rejane dias,Piauí,PT,7.0,4.2,6.4,7.3,2.9
renata abreu,São Paulo,PODE,5.5,1.6,4.8,3.6,
renildo calheiros,Pernambuco,PCdoB,4.2,1.6,2.7,10.0,3.06
ricardo barros,Paraná,PP,2.6,0.9,4.2,7.3,6.78
ricardo da karol,Rio de Janeiro,PDT,0.7,0.0,0.6,9.1,6.45
ricardo guidi,Santa Catarina,PSD,2.2,0.5,1.2,8.2,6.93
ricardo izar,São Paulo,REPUBLICANOS,4.7,2.5,5.5,0.9,5.35
ricardo pericar,Rio de Janeiro,UNIÃO,0.7,0.0,0.9,10.0,
ricardo silva,São Paulo,PSD,4.8,2.5,3.3,0.9,6.33
ricardo teobaldo,Pernambuco,PODE,1.8,1.1,1.2,5.5,5.81
roberio monteiro,Ceará,PDT,1.9,0.0,1.5,6.4,3.92
roberto alves,São Paulo,REPUBLICANOS,3.9,1.6,2.7,10.0,6.07
roberto de lucena,São Paulo,REPUBLICANOS,5.6,0.5,6.4,4.5,6.95
roberto pessoa,Ceará,PSDB,2.7,1.1,4.5,10.0,
rodrigo agostinho,São Paulo,PSB,7.4,3.3,4.5,0.9,5.01
rodrigo coelho,Santa Catarina,PODE,4.3,1.5,5.8,0.9,7.91
rodrigo de castro,Minas Gerais,UNIÃO,3.3,0.2,3.0,6.4,6.65
rodrigo maia,Rio de Janeiro,S.PART.,1.5,1.8,0.9,0.9,
rogerio correia,Minas Gerais,PT,6.3,2.5,8.8,9.1,2.6
rogerio peninha mendonca,Santa Catarina,MDB,3.0,0.2,2.4,0.9,7.38
ronaldo carletto,Bahia,PP,2.2,2.9,1.5,10.0,6.5
ronaldo martins,Ceará,REPUBLICANOS,0.6,0.4,0.9,10.0,6.65
rosana valle,São Paulo,PL,4.0,2.2,4.2,0.9,6.28
rosangela gomes,Rio de Janeiro,REPUBLICANOS,2.6,1.5,2.4,5.5,6.12
rose modesto,Mato Grosso do Sul,UNIÃO,3.9,1.5,3.6,0.9,5.92
rubens bueno,Paraná,CIDADANIA,5.5,2.2,3.3,2.7,7.04
rubens otoni,Goiás,PT,5.8,3.5,5.8,10.0,3.14
rubens pereira junior,Maranhão,PT,4.0,0.4,2.4,9.1,5.29
rui falcao,São Paulo,PT,3.4,2.2,5.5,9.1,2.6
ruy carneiro,Paraíba,PSC,2.6,1.1,1.8,2.7,6.26
samia bomfim,São Paulo,PSOL,5.8,2.7,6.4,10.0,2.91
samuel moreira,São Paulo,PSDB,2.8,1.3,2.1,0.9,7.76
sanderson,Rio Grande do Sul,PL,7.0,2.2,5.2,8.2,7.31
santini,Rio Grande do Sul,PTB,3.0,0.5,4.8,9.1,
sargento fahur,Paraná,PSD,2.7,1.5,1.5,0.9,7.39
schiavinato,Paraná,PP,2.6,1.3,2.4,10.0,
sebastiao oliveira,Pernambuco,AVANTE,2.3,0.2,2.1,9.1,6.57
sergio brito,Bahia,PSD,1.4,0.0,1.5,9.1,6.34
sergio souza,Paraná,MDB,3.1,1.5,3.3,6.4,6.9
sergio toledo,Alagoas,PV,2.3,0.7,1.5,8.2,6.24
sergio vidigal,Espírito Santo,PDT,2.7,1.5,4.5,7.3,
severino pessoa,Alagoas,MDB,2.4,0.2,1.8,8.2,6.02
sheridan,Roraima,PSDB,3.5,0.4,2.4,3.6,5.9
sidney leite,Amazonas,PSD,3.3,3.3,3.0,2.7,5.96
silas camara,Amazonas,REPUBLICANOS,3.1,2.2,3.0,8.2,5.77
silvia cristina,Rondônia,PL,3.0,0.5,3.3,0.9,5.12
silvio costa filho,Pernambuco,REPUBLICANOS,3.1,1.1,3.6,6.4,6.81
simplicio araujo,Maranhão,SOLIDARIEDADE,0.7,0.4,0.3,0.0,
soraya santos,Rio de Janeiro,PL,3.9,1.5,3.0,6.4,6.84
sostenes cavalcante,Rio de Janeiro,PL,4.2,1.8,2.1,3.6,5.44
stefano aguiar,Minas Gerais,PSD,1.8,2.0,0.9,6.4,5.87
subtenente gonzaga,Minas Gerais,PSD,5.8,2.0,4.8,2.7,4.04
tabata amaral,São Paulo,PSB,7.5,4.0,6.7,0.9,6.33
tadeu alencar,Pernambuco,PSB,3.9,3.3,4.2,7.3,3.6
taliria petrone,Rio de Janeiro,PSOL,7.2,2.9,6.4,9.1,3.39
ted conti,Espírito Santo,PSB,3.4,1.6,3.9,2.7,
tereza cristina,Mato Grosso do Sul,PP,0.5,0.5,0.9,10.0,
tereza nelma,Alagoas,PSD,5.0,2.7,7.0,0.9,4.97
tia eron,Bahia,REPUBLICANOS,2.0,0.5,1.8,10.0,
tiago dimas,Tocantins,PODE,3.9,1.6,3.3,6.4,6.39
tiago mitraud,Minas Gerais,NOVO,4.2,3.5,5.2,10.0,7.79
tiririca,São Paulo,PL,2.2,1.3,0.9,0.9,3.73
tito,Bahia,AVANTE,2.0,1.1,1.5,4.5,7.22
toninho wandscheer,Paraná,PROS,2.3,0.7,1.8,7.3,6.43
totonho lopes,Ceará,PDT,0.7,0.0,1.2,10.0,
tulio gadelha,Pernambuco,REDE,5.1,2.7,5.5,0.9,3.5
uldurico junior,Bahia,MDB,1.9,1.3,1.2,4.5,6.7
vaidon oliveira,Ceará,UNIÃO,1.6,0.9,1.5,6.4,
valdevan noventa,Sergipe,PL,2.0,0.9,1.5,0.9,
valmir assuncao,Bahia,PT,4.2,2.4,4.2,8.2,2.63
valtenir pereira,Mato Grosso,MDB,3.0,1.1,2.7,8.2,
vander loubet,Mato Grosso do Sul,PT,3.1,3.5,4.8,7.3,2.07
vanderlei macris,São Paulo,PSDB,2.5,0.7,1.2,0.9,7.06
vava martins,Pará,REPUBLICANOS,2.7,0.4,2.1,8.2,5.97
vermelho,Paraná,PL,3.0,0.5,2.1,8.2,6.21
vicentinho,São Paulo,PT,3.9,4.2,4.5,9.1,2.85
vicentinho junior,Tocantins,PP,3.0,0.2,3.0,10.0,6.52
victor mendes,Maranhão,MDB,0.5,0.4,0.6,10.0,
vilson da fetaemg,Minas Gerais,PSB,4.5,0.5,4.5,7.3,3.68
vinicius carvalho,São Paulo,REPUBLICANOS,4.7,1.1,2.4,9.1,6.56
vinicius farah,Rio de Janeiro,UNIÃO,3.4,1.8,3.6,8.2,5.49
vinicius gurgel,Amapá,PL,1.3,0.9,1.2,10.0,
vinicius poit,São Paulo,NOVO,3.5,2.7,3.9,10.0,7.88
vitor hugo,Goiás,PL,5.0,0.7,3.6,9.1,
vitor lippi,São Paulo,PSDB,3.6,1.3,4.8,3.6,6.93
vivi reis,Pará,PSOL,2.5,2.5,4.5,10.0,1.64
waldenor pereira,Bahia,PT,3.4,3.6,5.2,8.2,2.71
walter alves,Rio Grande do Norte,MDB,2.7,1.6,2.1,9.1,6.01
weliton prado,Minas Gerais,PROS,4.0,1.6,3.0,0.9,4.78
wellington roberto,Paraíba,PL,2.8,1.6,2.4,10.0,5.76
wilson santiago,Paraíba,REPUBLICANOS,4.1,0.9,3.9,8.2,4.29
wladimir garotinho,Rio de Janeiro,PSD,2.3,1.1,1.8,8.2,
wolney queiroz,Pernambuco,PDT,4.2,4.0,3.3,9.1,3.49
ze augusto nalin,Rio de Janeiro,UNIÃO,0.5,0.0,1.2,10.0,
ze carlos,Maranhão,PT,3.1,2.0,6.4,7.3,2.78
ze neto,Bahia,PT,4.2,1.1,5.5,7.3,3.2
ze silva,Minas Gerais,SOLIDARIEDADE,4.3,0.5,3.6,6.4,6.47
ze vitor,Minas Gerais,PL,5.8,1.8,4.5,6.4,6.22
zeca dirceu,Paraná,PT,3.2,3.1,4.5,8.2,2.91
