,n_prod_leg,n_fisc,n_mobi,n_alin_partd
176,8.5,5.5,10.0,6.4
177,1.9,1.8,1.8,4.5
178,1.8,0.9,2.1,6.4
179,4.3,1.8,4.8,6.4
180,3.3,0.5,2.4,0.9
181,1.3,0.0,0.9,10.0
182,1.7,0.0,0.9,10.0
183,3.9,0.7,4.5,0.9
184,2.8,0.2,2.7,1.8
185,2.4,0.2,1.8,3.6
186,2.4,1.8,1.5,5.5
187,2.6,0.9,1.8,8.2
188,7.2,2.2,5.5,0.9
189,3.8,2.2,4.8,6.4
190,4.2,1.6,3.6,6.4
191,6.5,3.5,7.3,0.9
192,4.0,0.5,2.1,8.2
193,6.7,3.1,6.1,0.9
194,3.2,0.7,3.0,5.5
195,7.7,3.8,7.0,9.1
196,0.5,0.0,0.6,10.0
197,1.6,0.9,1.2,10.0
198,2.4,1.1,2.1,8.2
199,4.4,0.7,5.2,0.9
200,4.7,2.2,4.2,7.3
201,2.3,0.7,3.0,8.2
202,5.2,1.1,5.5,4.5
203,1.6,1.3,1.2,7.3
204,3.2,0.2,3.0,0.9
205,2.4,0.9,1.8,9.1
206,5.0,2.0,4.8,7.3
207,3.9,1.5,2.7,5.5
208,6.0,0.9,4.8,6.4
209,5.6,3.5,4.5,7.3
210,2.6,0.7,2.4,0.9
211,1.8,0.7,0.9,9.1
212,1.3,0.4,0.6,8.2
213,2.8,0.4,2.7,8.2
214,4.0,1.6,5.2,6.4
215,7.8,1.6,6.7,7.3
216,3.3,0.2,2.4,1.8
217,3.6,1.6,4.8,6.4
218,1.5,0.9,1.5,9.1
219,3.1,0.9,3.6,0.9
220,4.2,0.9,3.6,10.0
221,1.6,2.2,1.8,8.2
222,5.6,2.9,3.0,10.0
223,5.2,1.6,5.2,8.2
224,1.4,0.9,0.6,6.4
225,3.6,3.8,6.4,9.1
226,4.2,3.5,4.8,9.1
227,2.8,2.4,2.7,6.4
228,0.1,0.0,0.3,10.0
229,3.3,1.3,3.6,7.3
230,3.6,1.5,2.4,3.6
231,1.4,0.9,1.5,9.1
232,4.1,1.6,3.0,8.2
233,5.1,4.0,3.3,3.6
234,2.6,0.5,2.7,8.2
235,3.0,0.5,4.2,7.3
236,1.7,1.3,2.1,7.3
237,4.4,1.5,3.3,7.3
238,3.3,1.6,3.3,6.4
239,7.2,2.5,5.2,9.1
240,2.4,0.2,1.5,1.8
241,2.5,0.0,2.1,7.3
242,5.1,1.5,3.9,9.1
243,0.6,0.0,1.2,10.0
244,3.3,3.5,4.2,8.2
245,3.1,0.0,3.3,4.5
246,2.5,1.3,4.5,7.3
247,1.4,0.9,0.6,3.6
248,6.4,2.2,5.8,2.7
249,3.6,0.5,3.0,9.1
250,5.3,3.5,5.5,7.3
251,3.5,0.9,2.1,8.2
252,2.7,2.0,3.9,1.8
253,2.5,0.0,1.5,6.4
254,3.6,1.5,4.8,7.3
255,1.9,0.7,1.5,9.1
256,3.5,0.2,3.0,8.2
257,6.6,4.2,5.8,9.1
258,5.6,3.8,6.4,9.1
259,3.6,1.5,3.9,6.4
260,3.2,2.4,0.9,0.9
261,5.0,1.1,7.3,5.5
262,2.7,0.4,2.1,1.8
263,4.1,2.5,3.3,4.5
264,3.0,0.2,2.4,8.2
265,2.8,0.7,2.7,7.3
266,1.8,0.5,2.1,9.1
267,6.0,2.7,6.1,8.2
268,3.9,2.4,5.2,8.2
269,3.2,1.1,2.1,10.0
270,1.7,0.2,1.8,9.1
271,3.2,0.5,2.4,8.2
272,3.9,1.6,3.0,3.6
273,5.2,2.7,5.8,10.0
274,4.2,2.0,3.3,0.9
