,nome,estado,regiao,partido,ideologia,n_prod_leg,n_fisc,n_mobi,n_alin_partd,avg_site1,nota_site2
114,danilo forte,Ceará,nordeste,UNIÃO,direita,1.9,1.6,1.8,4.5,1.9470588,7.04
115,danrlei de deus hinterholz,Rio Grande do Sul,sul,PSD,centro,1.8,0.4,2.1,5.5,1.6588235,6.33
116,darci de matos,Santa Catarina,sul,PSD,centro,5.2,0.5,5.2,8.2,3.9941177,7.44
117,david miranda,Rio de Janeiro,sudeste,PDT,esquerda,4.0,3.8,4.8,8.2,4.329412,3.31
118,david soares,São Paulo,sudeste,UNIÃO,direita,5.3,2.7,3.6,3.6,4.135294,6.5
119,delegado antonio furtado,Rio de Janeiro,sudeste,UNIÃO,direita,4.3,0.0,3.0,0.9,2.6058824,6.36
120,delegado eder mauro,Pará,norte,PL,direita,3.0,0.0,2.4,6.4,2.2117648,7.03
121,delegado marcelo freitas,Minas Gerais,sudeste,UNIÃO,direita,4.8,0.9,2.7,7.3,3.4294116,7.06
122,delegado pablo,Amazonas,norte,UNIÃO,direita,4.2,2.0,4.2,8.2,3.7882352,6.81
123,delegado waldir,Goiás,centro oeste,UNIÃO,direita,4.5,0.9,3.0,1.8,3.017647,6.54
124,denis bezerra,Ceará,nordeste,PSB,esquerda,6.0,4.4,6.1,7.3,5.6235294,3.53
125,diego andrade,Minas Gerais,sudeste,PSD,centro,4.1,1.1,3.3,9.1,3.3705883,5.78
126,diego garcia,Paraná,sul,REPUBLICANOS,direita,5.3,3.3,5.5,0.9,4.4882355,7.31
127,dimas fabiano,Minas Gerais,sudeste,PP,direita,1.7,1.1,1.2,8.2,1.8176471,5.96
128,domingos neto,Ceará,nordeste,PSD,centro,2.5,0.9,2.4,9.1,2.4,5.83
129,domingos savio,Minas Gerais,sudeste,PL,direita,3.2,0.4,2.4,8.2,2.5294118,6.39
130,dr. agripino magalhaes,Ceará,nordeste,UNIÃO,direita,0.5,0.0,0.0,10.0,0.8235294,4.85
131,dr. frederico,Minas Gerais,sudeste,PATRIOTA,direita,3.6,1.6,4.8,7.3,3.4411764,6.16
132,dr. jaziel,Ceará,nordeste,PL,direita,4.2,1.6,3.0,4.5,3.2411764,6.48
133,dr. leonardo,Mato Grosso,centro oeste,REPUBLICANOS,direita,3.5,1.8,3.0,5.5,3.0294118,6.72
134,dr. luiz antonio teixeira jr.,Rio de Janeiro,sudeste,PP,direita,4.1,0.7,6.7,8.2,3.8,6.56
135,dr. luiz ovando,Mato Grosso do Sul,centro oeste,PP,direita,2.3,1.3,2.4,8.2,2.3705883,7.11
136,dr. zacharias calil,Goiás,centro oeste,UNIÃO,direita,4.5,1.1,4.8,6.4,3.664706,6.69
137,dra. soraya manato,Espírito Santo,sudeste,PTB,direita,7.6,1.3,7.3,8.2,5.7294116,7.51
138,dra. vanda milani,Acre,norte,PROS,centro,1.9,1.1,1.8,7.3,1.9647058,6.74
139,dulce miranda,Tocantins,norte,MDB,centro,2.6,1.6,3.3,5.5,2.6,6.07
140,edilazio junior,Maranhão,nordeste,PSD,centro,2.6,0.5,2.1,9.1,2.2764707,6.69
141,edio lopes,Roraima,norte,PL,direita,2.3,1.1,1.8,9.1,2.2588236,6.1
142,edna henrique,Paraíba,nordeste,REPUBLICANOS,direita,5.3,1.5,4.5,4.5,3.9941177,5.53
143,eduardo barbosa,Minas Gerais,sudeste,PSDB,centro,4.5,2.4,3.9,4.5,3.7764707,6.95
144,eduardo bismarck,Ceará,nordeste,PDT,esquerda,8.2,3.1,7.3,0.9,6.111765,3.9
145,eduardo bolsonaro,São Paulo,sudeste,PL,direita,2.5,1.8,2.1,8.2,2.5588236,7.23
146,eduardo costa,Pará,norte,PSD,centro,4.8,1.6,5.5,6.4,4.0764704,6.93
147,eduardo cury,São Paulo,sudeste,PSDB,centro,4.0,2.4,2.4,1.8,3.1176472,7.1
148,eduardo da fonte,Pernambuco,nordeste,PP,direita,4.4,1.8,3.3,7.3,3.6117647,5.36
149,efraim filho,Paraíba,nordeste,UNIÃO,direita,3.9,2.0,4.5,9.1,3.7529411,7.1
150,elcione barbalho,Pará,norte,MDB,centro,2.5,2.0,2.7,3.6,2.4529412,5.6
151,eli borges,Tocantins,norte,PL,direita,3.5,1.1,2.1,1.8,2.447059,5.74
152,eli correa filho,São Paulo,sudeste,UNIÃO,direita,2.5,0.2,2.1,9.1,2.1411765,6.77
153,elias vaz,Goiás,centro oeste,PSB,esquerda,4.5,6.0,5.8,4.5,5.170588,3.77
154,elmar nascimento,Bahia,nordeste,UNIÃO,direita,2.0,0.7,1.5,9.1,1.9470588,6.45
155,emanuel pinheiro neto,Mato Grosso,centro oeste,MDB,centro,4.2,2.0,4.2,1.8,3.4117646,5.62
156,emidinho madeira,Minas Gerais,sudeste,PL,direita,1.8,0.7,2.1,0.9,1.4764706,6.3
157,enio verri,Paraná,sul,PT,esquerda,5.0,4.9,5.2,9.1,5.247059,2.53
158,enrico misasi,São Paulo,sudeste,MDB,centro,3.8,1.6,2.4,0.9,2.735294,6.9
159,erika kokay,Distrito Federal,centro oeste,PT,esquerda,8.5,5.5,10.0,6.4,7.7588234,2.55
160,eros biondini,Minas Gerais,sudeste,PL,direita,1.9,1.8,1.8,4.5,2.0058823,6.78
161,euclydes pettersen,Minas Gerais,sudeste,PSC,direita,1.8,0.9,2.1,6.4,1.8588235,5.88
162,evair vieira de melo,Espírito Santo,sudeste,PP,direita,4.3,1.8,4.8,6.4,3.7764707,7.68
163,expedito netto,Rondônia,norte,PSD,centro,3.3,0.5,2.4,0.9,2.1764705,5.19
164,fabio henrique,Sergipe,nordeste,UNIÃO,direita,3.9,0.7,4.5,0.9,2.8882353,4.25
165,fabio ramalho,Minas Gerais,sudeste,MDB,centro,2.4,0.2,1.8,3.6,1.7176471,6.35
166,fabio reis,Sergipe,nordeste,PSD,centro,2.4,1.8,1.5,5.5,2.2470589,5.49
167,fabio schiochet,Santa Catarina,sul,UNIÃO,direita,2.6,0.9,1.8,8.2,2.2882352,7.03
168,fabio trad,Mato Grosso do Sul,centro oeste,PSD,centro,7.2,2.2,5.5,0.9,5.0588236,5.83
169,fausto pinato,São Paulo,sudeste,PP,direita,3.8,2.2,4.8,6.4,3.6588235,6.49
170,felicio laterca,Rio de Janeiro,sudeste,PP,direita,4.2,1.6,3.6,6.4,3.4588234,6.97
171,felipe carreras,Pernambuco,nordeste,PSB,esquerda,6.5,3.5,7.3,0.9,5.429412,6.81
172,felipe francischini,Paraná,sul,UNIÃO,direita,4.0,0.5,2.1,8.2,2.8823528,7.14
173,felipe rigoni,Espírito Santo,sudeste,UNIÃO,direita,6.7,3.1,6.1,0.9,5.1941175,7.72
174,felix mendonca junior,Bahia,nordeste,PDT,esquerda,3.2,0.7,3.0,5.5,2.5647058,3.32
175,fernanda melchionna,Rio Grande do Sul,sul,PSOL,esquerda,7.7,3.8,7.0,9.1,6.5117645,3.41
176,fernando coelho filho,Pernambuco,nordeste,UNIÃO,direita,1.6,0.9,1.2,10.0,1.8176471,6.31
177,fernando monteiro,Pernambuco,nordeste,PP,direita,2.4,1.1,2.1,8.2,2.3058825,5.56
178,fernando rodolfo,Pernambuco,nordeste,PL,direita,4.4,0.7,5.2,0.9,3.2470589,4.68
179,filipe barros,Paraná,sul,PL,direita,4.7,2.2,4.2,7.3,4.029412,6.87
180,flavia arruda,Distrito Federal,centro oeste,PL,direita,2.3,0.7,3.0,8.2,2.3,5.95
181,flavia morais,Goiás,centro oeste,PDT,esquerda,5.2,1.1,5.5,4.5,4.0058823,4.05
182,flaviano melo,Acre,norte,MDB,centro,1.6,1.3,1.2,7.3,1.7764705,6.33
183,flavio nogueira,Piauí,nordeste,PT,esquerda,3.2,0.2,3.0,0.9,2.1470587,5.73
184,francisco jr.,Goiás,centro oeste,PSD,centro,5.0,2.0,4.8,7.3,4.217647,6.45
185,franco cartafina,Minas Gerais,sudeste,PP,direita,3.9,1.5,2.7,5.5,3.0764706,7.19
186,fred costa,Minas Gerais,sudeste,PATRIOTA,direita,6.0,0.9,4.8,6.4,4.3117647,7.36
187,frei anastacio ribeiro,Paraíba,nordeste,PT,esquerda,5.6,3.5,4.5,7.3,4.888235,2.64
188,gelson azevedo,Rio de Janeiro,sudeste,PL,direita,1.8,0.7,0.9,9.1,1.7470589,6.36
189,genecias noronha,Ceará,nordeste,PL,direita,1.3,0.4,0.6,8.2,1.3176471,6.3
190,general girao,Rio Grande do Norte,nordeste,PL,direita,2.8,0.4,2.7,8.2,2.3941176,7.44
191,general peternelli,São Paulo,sudeste,UNIÃO,direita,4.0,1.6,5.2,6.4,3.6470587,7.79
192,geninho zuliani,São Paulo,sudeste,UNIÃO,direita,7.8,1.6,6.7,7.3,5.752941,6.63
193,geovania de sa,Santa Catarina,sul,PSDB,centro,3.3,0.2,2.4,1.8,2.1411765,7.02
194,gervasio maia,Paraíba,nordeste,PSB,esquerda,3.6,1.6,4.8,6.4,3.3882353,3.08
195,giacobo,Paraná,sul,PL,direita,1.5,0.9,1.5,9.1,1.7705883,6.81
196,gil cutrim,Maranhão,nordeste,REPUBLICANOS,direita,3.1,0.9,3.6,0.9,2.4117646,6.9
197,gilberto abramo,Minas Gerais,sudeste,REPUBLICANOS,direita,4.2,0.9,3.6,10.0,3.464706,6.41
198,gilberto nascimento,São Paulo,sudeste,PSC,direita,1.6,2.2,1.8,8.2,2.2,5.66
199,gilson marques,Santa Catarina,sul,NOVO,direita,5.6,2.9,3.0,10.0,4.605882,7.97
200,giovani cherini,Rio Grande do Sul,sul,PL,direita,5.2,1.6,5.2,8.2,4.317647,6.77
201,giovani feltes,Rio Grande do Sul,sul,MDB,centro,1.4,0.9,0.6,6.4,1.4058824,6.24
202,glauber braga,Rio de Janeiro,sudeste,PSOL,esquerda,3.6,3.8,6.4,9.1,4.4764705,3.11
203,gleisi hoffmann,Paraná,sul,PT,esquerda,4.2,3.5,4.8,9.1,4.388235,2.35
204,gonzaga patriota,Pernambuco,nordeste,PSB,esquerda,2.8,2.4,2.7,6.4,2.8764706,3.37
205,greyce elias,Minas Gerais,sudeste,AVANTE,centro,3.3,1.3,3.6,7.3,3.0,6.36
206,guiga peixoto,São Paulo,sudeste,PSC,direita,3.6,1.5,2.4,3.6,2.7705882,7.95
207,guilherme mussi,São Paulo,sudeste,PP,direita,1.4,0.9,1.5,9.1,1.7235295,5.86
208,gurgel,Rio de Janeiro,sudeste,PL,direita,4.1,1.6,3.0,8.2,3.4117646,7.41
209,gustavo fruet,Paraná,sul,PDT,esquerda,5.1,4.0,3.3,3.6,4.3705883,4.01
210,gustinho ribeiro,Sergipe,nordeste,REPUBLICANOS,direita,2.6,0.5,2.7,8.2,2.3294117,6.47
211,gutemberg reis,Rio de Janeiro,sudeste,MDB,centro,3.0,0.5,4.2,7.3,2.7294118,5.46
212,haroldo cathedral,Roraima,norte,PSD,centro,1.7,1.3,2.1,7.3,1.982353,5.71
213,heitor freire,Ceará,nordeste,UNIÃO,direita,4.4,1.5,3.3,7.3,3.5235295,7.16
214,heitor schuch,Rio Grande do Sul,sul,PSB,esquerda,3.3,1.6,3.3,6.4,2.982353,3.88
215,helder salomao,Espírito Santo,sudeste,PT,esquerda,7.2,2.5,5.2,9.1,5.5764704,2.62
216,helio costa,Santa Catarina,sul,PSD,centro,2.4,0.2,1.5,1.8,1.5588236,6.61
217,helio leite,Pará,norte,UNIÃO,direita,2.5,0.0,2.1,7.3,1.9764706,6.29
218,helio lopes,Rio de Janeiro,sudeste,PL,direita,5.1,1.5,3.9,9.1,4.064706,7.17
219,henrique fontana,Rio Grande do Sul,sul,PT,esquerda,3.3,3.5,4.2,8.2,3.8058825,2.18
220,hercilio coelho diniz,Minas Gerais,sudeste,MDB,centro,3.1,0.0,3.3,4.5,2.3058825,6.71
221,herculano passos,São Paulo,sudeste,REPUBLICANOS,direita,2.5,1.3,4.5,7.3,2.782353,4.43
